	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.7544378698224853	0.6077627562495984	0.5454545454545454	0.48717948717948717	0.22450662753346862	PGM	0.4
1	Leave_Choueiri_out	Choueiri	0.641025641025641	0.21798941798941798	0.42857142857142855	0.5	0.32387513781564786	PGM	0.4
2	Leave_Gide_out	Gide	0.7068181818181819	0.6901826926137661	0.7422680412371133	0.6575342465753424	0.31717201346336016	PGM	0.1
3	Leave_Hugo_out	Hugo	0.6309523809523809	0.6491540175876296	0.3157894736842105	0.5	0.06023386019368342	PGM	0.1
4	Leave_IMVigor210_out	IMVigor210	0.484462915601023	0.21238901360237467	0.10752688172043011	0.7214765100671141	-0.020325891010406143	PGM	0.1
5	Leave_IMmotion150_out	IMmotion150	0.629451566951567	0.38052463802239656	0.4736842105263158	0.3939393939393939	0.1421987087878941	PGM	0.2
6	Leave_Kim_out	Kim	0.6161616161616161	0.32232535654772876	0.5161290322580646	0.6666666666666666	0.2984440079997103	PGM	0.8
7	Leave_Liu_out	Liu	0.5620842572062085	0.45934985470553935	0.52	0.5514018691588785	0.13112820142427012	PGM	0.1
8	Leave_MGH_out	MGH	0.5340909090909092	0.4934799742862067	0.4166666666666667	0.5882352941176471	0.09848484848484848	PGM	0.1
9	Leave_Miao_out	Miao	0.46666666666666673	0.26412878787878785	0.47619047619047616	0.35294117647058826	0.1613743060919757	PGM	0.1
10	Leave_Riaz_out	Riaz	0.7219512195121951	0.5286691537422111	0.4	0.5882352941176471	0.20726939083047097	PGM	0.1
11	Leave_Rose_out	Rose	0.6018835616438357	0.22284174828513134	0.2777777777777778	0.7078651685393258	0.09845755538519141	PGM	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.6332236842105263	0.4948546007451906	0.5454545454545454	0.5098039215686274	0.14136319404844724	PGM	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.47058823529411764	0.313370299926364	0.36363636363636365	0.44	-0.08291849892341732	PGM	0.5
14	Leave_Snyder_out	Snyder	0.5102040816326531	0.3488968556997084	0.4	0.42857142857142855	-0.06933752452815364	PGM	0.1
15	Leave_Zhao_out	Zhao	0.7402597402597403	0.6550976800976801	0.6666666666666666	0.64	0.32904437697703026	PGM	0.1
