	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.6094674556213018	0.491673705695743	0.4444444444444445	0.6153846153846154	0.1511857892036909
1	Leave_Choueiri_out	Choueiri	0.5384615384615384	0.21587301587301583	0.4	0.8125	0.30261376633440124
2	Leave_Gide_out	Gide	0.7833333333333333	0.8291139550103767	0.7142857142857143	0.6712328767123288	0.33132648472380505
3	Leave_Hugo_out	Hugo	0.5595238095238095	0.5566813603471826	0.23529411764705882	0.5	0.09287970209589214
4	Leave_IMVigor210_out	IMVigor210	0.6796035805626599	0.434378502338048	0.38399999999999995	0.7416107382550335	0.2235010509417615
5	Leave_IMmotion150_out	IMmotion150	0.69017094017094	0.4887977225739395	0.4210526315789474	0.7333333333333333	0.27922361968617077
6	Leave_Kim_out	Kim	0.7878787878787878	0.5409041059584537	0.5882352941176471	0.6888888888888889	0.41551824007289195
7	Leave_Liu_out	Liu	0.7102734663710274	0.6154913836634802	0.5813953488372093	0.6635514018691588	0.30207312928139773
8	Leave_MGH_out	MGH	0.7462121212121212	0.6733002533317178	0.6666666666666666	0.7941176470588235	0.5333964609104418
9	Leave_Miao_out	Miao	0.6	0.6994117647058824	0.7499999999999999	0.8823529411764706	0.7171371656006362
10	Leave_Riaz_out	Riaz	0.7268292682926829	0.2892271940016505	0.4	0.6470588235294118	0.2102413284958751
11	Leave_Rose_out	Rose	0.6909246575342466	0.43869470637295904	0.380952380952381	0.7078651685393258	0.2139997869382291
12	Leave_SU2CLC1_out	SU2CLC1	0.677220394736842	0.5802886929635624	0.5365853658536586	0.6274509803921569	0.22960107043010433
13	Leave_SU2CLC2_out	SU2CLC2	0.8161764705882353	0.695173056110556	0.5714285714285715	0.76	0.4176201680321031
14	Leave_Snyder_out	Snyder	0.5612244897959183	0.3488454997383569	0.0	0.6190476190476191	-0.15811388300841897
15	Leave_Zhao_out	Zhao	0.8311688311688312	0.7387665958521573	0.39999999999999997	0.64	0.2725597300256653
