	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7988165680473372	0.7164573033803803	0.6153846153846154	0.7435897435897436	0.4230769230769231
1	Leave_Choueiri_out	Choueiri	0.7435897435897436	0.27400793650793653	0.3333333333333333	0.75	0.1794871794871795
2	Leave_Gide_out	Gide	0.8287878787878789	0.8650412877345358	0.7640449438202247	0.7123287671232876	0.4189670573878718
3	Leave_Hugo_out	Hugo	0.5119047619047619	0.5274421169029292	0.5384615384615384	0.5384615384615384	0.08333333333333333
4	Leave_IMVigor210_out	IMVigor210	0.6900255754475704	0.41368167827701763	0.3770491803278689	0.7449664429530202	0.2216613673258909
5	Leave_IMmotion150_out	IMmotion150	0.6778846153846154	0.5003006132192693	0.39473684210526316	0.7212121212121212	0.24367431625390365
6	Leave_Kim_out	Kim	0.7272727272727273	0.4973409280491323	0.5714285714285714	0.6666666666666666	0.38871061168109244
7	Leave_Liu_out	Liu	0.7682926829268293	0.7308069977568683	0.5714285714285714	0.719626168224299	0.384388441930006
8	Leave_MGH_out	MGH	0.7159090909090909	0.660806982930306	0.5	0.6470588235294118	0.22727272727272727
9	Leave_Miao_out	Miao	0.6833333333333333	0.5854229104229103	0.6666666666666665	0.8235294117647058	0.5549890273805606
10	Leave_Riaz_out	Riaz	0.7634146341463415	0.38482707310619013	0.48	0.7450980392156863	0.33153989079293594
11	Leave_Rose_out	Rose	0.7585616438356164	0.45969971921701125	0.45714285714285713	0.7865168539325843	0.32735043413094533
12	Leave_SU2CLC1_out	SU2CLC1	0.7384868421052633	0.6484554246082893	0.6352941176470589	0.696078431372549	0.3860675488766606
13	Leave_SU2CLC2_out	SU2CLC2	0.6176470588235294	0.5456731177319412	0.3076923076923077	0.64	0.08574929257125442
14	Leave_Snyder_out	Snyder	0.6428571428571429	0.3873504530017135	0.3333333333333333	0.6190476190476191	0.07905694150420949
15	Leave_Zhao_out	Zhao	0.8636363636363636	0.793577886759705	0.16666666666666669	0.6	0.23028309323591914
