	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Leave_Allen_out	Allen	0.3846153846153846	0.26362685276782044	0.35294117647058826	0.4358974358974359	-0.1091089451179962	NRS	0.1
1	Leave_Choueiri_out	Choueiri	0.23076923076923073	0.11723484848484848	0.0	0.4375	-0.3721042037676254	NRS	0.1
2	Leave_Gide_out	Gide	0.2681818181818182	0.42681159831892007	0.2777777777777778	0.2876712328767123	-0.4179350612800444	NRS	0.1
3	Leave_Hugo_out	Hugo	0.34523809523809523	0.48929295042975984	0.32	0.34615384615384615	-0.3003124875651863	NRS	0.1
4	Leave_IMVigor210_out	IMVigor210	0.4890025575447571	0.22734675085596778	0.28695652173913044	0.44966442953020136	-0.06367546728380884	NRS	0.1
5	Leave_IMmotion150_out	IMmotion150	0.4223646723646724	0.24737055060514318	0.3255813953488372	0.4727272727272727	-0.06842970461934744	NRS	0.1
6	Leave_Kim_out	Kim	0.303030303030303	0.263063495417637	0.21621621621621623	0.35555555555555557	-0.26967994498529685	NRS	0.1
7	Leave_Liu_out	Liu	0.5391722099039172	0.43966799379368876	0.5054945054945056	0.5794392523364486	0.14799788046537346	NRS	0.1
8	Leave_MGH_out	MGH	0.4318181818181818	0.32551473366104444	0.4666666666666666	0.5294117647058824	0.07978559231302818	NRS	0.1
9	Leave_Miao_out	Miao	0.45	0.25543456543456544	0.3076923076923077	0.47058823529411764	-0.09128709291752769	NRS	0.1
10	Leave_Riaz_out	Riaz	0.3780487804878049	0.15147026562436247	0.23529411764705882	0.49019607843137253	-0.06984302957695782	NRS	0.1
11	Leave_Rose_out	Rose	0.547945205479452	0.20921867571222208	0.3076923076923077	0.4943820224719101	0.0700577859651305	NRS	0.1
12	Leave_SU2CLC1_out	SU2CLC1	0.4893092105263158	0.4525744079145707	0.4418604651162791	0.5294117647058824	0.04540519732854868	NRS	0.1
13	Leave_SU2CLC2_out	SU2CLC2	0.4117647058823529	0.28761918947420867	0.3157894736842105	0.48	-0.0898283738337021	NRS	0.1
14	Leave_Snyder_out	Snyder	0.33673469387755106	0.25034462165432975	0.26666666666666666	0.47619047619047616	-0.1386750490563073	NRS	0.1
15	Leave_Zhao_out	Zhao	0.5	0.4958989227799113	0.45454545454545453	0.52	0.025974025974025976	NRS	0.1
