	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.6005917159763314	0.39764501349104825	0.5	0.3333333333333333	0.0
1	Leave_Choueiri_out	Choueiri	0.4615384615384615	0.16876271876271876	0.0	0.8125	0.0
2	Leave_Gide_out	Gide	0.6037878787878789	0.679266972933834	0.6972477064220184	0.547945205479452	0.023194580864220035
3	Leave_Hugo_out	Hugo	0.44642857142857145	0.5802196249966811	0.6666666666666666	0.5	-0.18516401995451032
4	Leave_IMVigor210_out	IMVigor210	0.5725063938618925	0.28794614537478996	0.05405405405405406	0.7651006711409396	0.03591471496128474
5	Leave_IMmotion150_out	IMmotion150	0.46403133903133903	0.2597100044979876	0.0	0.7090909090909091	0.0
6	Leave_Kim_out	Kim	0.6944444444444444	0.43383771750178096	0.0	0.7333333333333333	0.0
7	Leave_Liu_out	Liu	0.549519586104952	0.4722455992256854	0.5540540540540541	0.38317757009345793	0.0
8	Leave_MGH_out	MGH	0.587121212121212	0.4430933088600674	0.5	0.35294117647058826	-0.07693218186208295
9	Leave_Miao_out	Miao	0.6833333333333333	0.499978354978355	0.0	0.7058823529411765	0.0
10	Leave_Riaz_out	Riaz	0.5829268292682926	0.21966427157670348	0.3508771929824561	0.27450980392156865	0.1440751692175112
11	Leave_Rose_out	Rose	0.577054794520548	0.20257235530273768	0.17142857142857143	0.6741573033707865	-0.029686191330502397
12	Leave_SU2CLC1_out	SU2CLC1	0.5259046052631579	0.3805457747992795	0.13333333333333333	0.6176470588235294	0.03145338445616826
13	Leave_SU2CLC2_out	SU2CLC2	0.2426470588235294	0.21156478755863345	0.0	0.44	-0.38549553972194134
14	Leave_Snyder_out	Snyder	0.4897959183673469	0.29652282241567957	0.5	0.5238095238095238	0.1386750490563073
15	Leave_Zhao_out	Zhao	0.4025974025974026	0.4877693858588754	0.0	0.56	0.0
