	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7544378698224852	0.7156356721365082	0.5833333333333334	0.7435897435897436	0.4029114820126901
1	Leave_Choueiri_out	Choueiri	0.6666666666666666	0.24576719576719575	0.28571428571428575	0.6875	0.09245003270420485
2	Leave_Gide_out	Gide	0.8068181818181818	0.8589452076215144	0.7674418604651162	0.726027397260274	0.4443902305538034
3	Leave_Hugo_out	Hugo	0.5059523809523809	0.4951871874271784	0.4615384615384615	0.46153846153846156	-0.07142857142857142
4	Leave_IMVigor210_out	IMVigor210	0.6721227621483375	0.4055211099978258	0.326530612244898	0.7785234899328859	0.24327527224951623
5	Leave_IMmotion150_out	IMmotion150	0.6885683760683761	0.5264356050479279	0.4109589041095891	0.7393939393939394	0.28758260479165737
6	Leave_Kim_out	Kim	0.7853535353535352	0.6732135624905233	0.48000000000000004	0.7111111111111111	0.2808733880948142
7	Leave_Liu_out	Liu	0.7657058388765706	0.7295612780787037	0.6027397260273972	0.7289719626168224	0.408882197450523
8	Leave_MGH_out	MGH	0.7083333333333334	0.687924213564423	0.6060606060606061	0.6176470588235294	0.3277927812629611
9	Leave_Miao_out	Miao	0.65	0.6125108225108225	0.5454545454545454	0.7058823529411765	0.3337119062359573
10	Leave_Riaz_out	Riaz	0.7512195121951221	0.32551120541252115	0.3333333333333333	0.6862745098039216	0.13887471022415737
11	Leave_Rose_out	Rose	0.7902397260273972	0.42542776936313137	0.39999999999999997	0.797752808988764	0.27992753698442335
12	Leave_SU2CLC1_out	SU2CLC1	0.7117598684210527	0.6474208496804507	0.5833333333333334	0.6078431372549019	0.26171310825249655
13	Leave_SU2CLC2_out	SU2CLC2	0.5955882352941176	0.5077966825728975	0.42857142857142855	0.68	0.21684124109359199
14	Leave_Snyder_out	Snyder	0.5612244897959183	0.32419098758384474	0.0	0.6190476190476191	-0.15811388300841897
15	Leave_Zhao_out	Zhao	0.8571428571428571	0.8247150725091902	0.16666666666666669	0.6	0.23028309323591914
