	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7928994082840236	0.7260297325312803	0.64	0.7692307692307693	0.4714045207910317
1	Leave_Choueiri_out	Choueiri	0.6153846153846154	0.20436507936507936	0.28571428571428575	0.6875	0.09245003270420485
2	Leave_Gide_out	Gide	0.8439393939393939	0.8843039816410877	0.810126582278481	0.7945205479452054	0.586547237385635
3	Leave_Hugo_out	Hugo	0.5654761904761905	0.5505328682629752	0.4799999999999999	0.5	0.012012499502607453
4	Leave_IMVigor210_out	IMVigor210	0.6867647058823529	0.43243001668961273	0.3666666666666667	0.7449664429530202	0.21351055193798785
5	Leave_IMmotion150_out	IMmotion150	0.7247150997150997	0.5604085713401792	0.46511627906976744	0.7212121212121212	0.2835170289472621
6	Leave_Kim_out	Kim	0.8257575757575758	0.635576626196326	0.6	0.8222222222222222	0.5082247369937667
7	Leave_Liu_out	Liu	0.7808573540280858	0.7438739553052295	0.6046511627906976	0.6822429906542056	0.34101508691165017
8	Leave_MGH_out	MGH	0.7045454545454546	0.5789884519696181	0.5714285714285715	0.6470588235294118	0.29012942659282975
9	Leave_Miao_out	Miao	0.6666666666666666	0.6593406593406593	0.5	0.6470588235294118	0.24688535993934707
10	Leave_Riaz_out	Riaz	0.7536585365853659	0.35514907360559533	0.3636363636363636	0.7254901960784313	0.19176283037764782
11	Leave_Rose_out	Rose	0.7833904109589042	0.37405961762857076	0.4375	0.797752808988764	0.3142123287671233
12	Leave_SU2CLC1_out	SU2CLC1	0.7425986842105263	0.680243253009876	0.5934065934065935	0.6372549019607843	0.29445162784640533
13	Leave_SU2CLC2_out	SU2CLC2	0.6691176470588235	0.46774810467665323	0.5	0.76	0.40230863885375184
14	Leave_Snyder_out	Snyder	0.5816326530612245	0.3361419392931998	0.16666666666666666	0.5238095238095238	-0.15811388300841897
15	Leave_Zhao_out	Zhao	0.8766233766233766	0.7557016216107125	0.16666666666666669	0.6	0.23028309323591914
