	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.7366863905325445	0.6361314970259258	0.5806451612903226	0.6666666666666666	0.3273268353539886
1	Leave_Choueiri_out	Choueiri	0.7692307692307692	0.30000000000000004	0.28571428571428575	0.6875	0.09245003270420485
2	Leave_Gide_out	Gide	0.8159090909090909	0.8609551092129862	0.7865168539325842	0.7397260273972602	0.4775582359114631
3	Leave_Hugo_out	Hugo	0.5833333333333334	0.5754728833666468	0.45454545454545453	0.5384615384615384	0.11572751247156893
4	Leave_IMVigor210_out	IMVigor210	0.6951406649616368	0.37685611594482865	0.4031007751937984	0.7416107382550335	0.2394115155602537
5	Leave_IMmotion150_out	IMmotion150	0.6470797720797721	0.4910307522045634	0.3783783783783784	0.7212121212121212	0.2357311055930895
6	Leave_Kim_out	Kim	0.7373737373737375	0.49974158706031224	0.5217391304347826	0.5111111111111111	0.34299717028501764
7	Leave_Liu_out	Liu	0.7849223946784922	0.7178671714832456	0.53125	0.719626168224299	0.3831216099244152
8	Leave_MGH_out	MGH	0.7348484848484849	0.6956069554968297	0.5185185185185186	0.6176470588235294	0.21144800897557345
9	Leave_Miao_out	Miao	0.5833333333333334	0.5326785714285713	0.6	0.7647058823529411	0.43333333333333335
10	Leave_Riaz_out	Riaz	0.7682926829268293	0.49304768224915607	0.5217391304347826	0.7843137254901961	0.39107248857498667
11	Leave_Rose_out	Rose	0.7551369863013698	0.4300283509164172	0.47826086956521735	0.7303370786516854	0.3470503534602072
12	Leave_SU2CLC1_out	SU2CLC1	0.69921875	0.596086660973116	0.574712643678161	0.6372549019607843	0.27376043237611736
13	Leave_SU2CLC2_out	SU2CLC2	0.6397058823529411	0.6192498291182502	0.5	0.76	0.40230863885375184
14	Leave_Snyder_out	Snyder	0.5204081632653061	0.3053068954854669	0.0	0.5238095238095238	-0.28867513459481287
15	Leave_Zhao_out	Zhao	0.9025974025974026	0.8868220794357159	0.16666666666666669	0.6	0.23028309323591914
